"di_id","year","value_1","value","value_3"
"SR",1989,22.88,22.88,
"SS",1989,49.28,49.28,
"ST",1989,38.07,38.07,
"SV",1989,19.45,19.45,
"SZ",1989,84.46,84.46,
"TD",1989,69.1,69.1,
"TG",1989,49.76,49.76,
"TH",1989,11.38,11.38,
"TJ",1989,2.36,2.36,
"TL",1989,97.46,97.46,
"TM",1989,30.88,30.88,
"TN",1989,10.91,10.91,
"TO",1989,4.69,4.69,
"TR",1989,1.78,1.78,
"TT",1989,2.27,2.27,
"TV",1989,10.44,10.44,
"TZ",1989,69.37,69.37,
"UA",1989,1.06,1.06,
"UG",1989,82.01,82.01,
"UY",1989,0.61,0.61,
"UZ",1989,0,0,
"VE",1989,4.81,4.81,
"VN",1989,62.63,62.63,
"VU",1989,14.62,14.62,
"WS",1989,7.17,7.17,
"XK",1989,1.65,1.65,
"ZA",1989,26.29,26.29,
"ZM",1989,52.97,52.97,
"ZW",1989,5.19,5.19,
"AL",1990,0.11,0.11,0.11
"AM",1990,10.86,10.86,10.86
"AO",1990,46.46,46.46,46.46
"AZ",1990,0.62,0.62,0.62
"BA",1990,0.31,0.31,0.31
"BD",1990,41.44,41.44,41.44
"BF",1990,84.15,84.15,84.15
"BG",1990,0.07,0.07,0.07
"BI",1990,81.54,81.54,81.54
"BJ",1990,58.84,58.84,58.84
"BO",1990,8.74,8.74,8.74
"BR",1990,20.56,20.56,20.56
"BT",1990,87.39,87.39,87.39
"BW",1990,33.58,33.58,33.58
"BY",1990,0.15,0.15,0.15
"BZ",1990,13.55,13.55,13.55
"CD",1990,69.91,69.91,69.91
"CF",1990,81.55,81.55,81.55
"CG",1990,48.04,48.04,48.04
"CI",1990,14.31,14.31,14.31
"CL",1990,7.92,7.92,7.92
"CM",1990,33.44,33.44,33.44
"CN",1990,66.58,66.58,66.58
"CO",1990,8.22,8.22,8.22
"CR",1990,9.92,9.92,9.92
"CV",1990,53.1,53.1,53.1
"CZ",1990,0.01,0.01,0.01
"DJ",1990,8.7,8.7,8.7
"DO",1990,30.19,30.19,30.19
"EC",1990,21.71,21.71,21.71
"EE",1990,0.71,0.71,0.71
"ET",1990,60.33,60.33,60.33
"FJ",1990,10.43,10.43,10.43
"FM",1990,16.75,16.75,16.75
"GA",1990,5.45,5.45,5.45
"GE",1990,9.13,9.13,9.13
"GH",1990,43.6,43.6,43.6
"GM",1990,69.27,69.27,69.27
"GN",1990,91.79,91.79,91.79
"GT",1990,35.77,35.77,35.77
"GW",1990,43.91,43.91,43.91
"GY",1990,41.64,41.64,41.64
"HN",1990,44.28,44.28,44.28
"HR",1990,0.26,0.26,0.26
"HT",1990,57.52,57.52,57.52
"HU",1990,0.1,0.1,0.1
"ID",1990,57.27,57.27,57.27
"IN",1990,38.86,38.86,38.86
"IR",1990,6,6,6
"JM",1990,4.56,4.56,4.56
"KE",1990,21.06,21.06,21.06
"KG",1990,34.32,34.32,34.32
"KH",1990,34.82,34.82,34.82
"KI",1990,18,18,18
"KM",1990,11.2,11.2,11.2
"KZ",1990,0.03,0.03,0.03
"LA",1990,29.2,29.2,29.2
"LC",1990,40.98,40.98,40.98
"LK",1990,9.19,9.19,9.19
"LR",1990,49.19,49.19,49.19
"LS",1990,71.56,71.56,71.56
"LT",1990,5.66,5.66,5.66
"LV",1990,0.04,0.04,0.04
"MA",1990,4.45,4.45,4.45
"MD",1990,2.45,2.45,2.45
"ME",1990,0.55,0.55,0.55
"MG",1990,59.59,59.59,59.59
"MK",1990,1.22,1.22,1.22
"ML",1990,85.97,85.97,85.97
"MN",1990,7.84,7.84,7.84
"MR",1990,41.67,41.67,41.67
"MU",1990,4.03,4.03,4.03
"MV",1990,39.37,39.37,39.37
"MW",1990,72.21,72.21,72.21
"MX",1990,10.03,10.03,10.03
"MY",1990,1.44,1.44,1.44
"MZ",1990,90.14,90.14,90.14
"NA",1990,53.6,53.6,53.6
"NE",1990,71.54,71.54,71.54
"NG",1990,52.17,52.17,52.17
"NI",1990,23.98,23.98,23.98
"NP",1990,68.45,68.45,68.45
"PA",1990,24.71,24.71,24.71
"PE",1990,20.14,20.14,20.14
"PG",1990,64.54,64.54,64.54
"PH",1990,25.16,25.16,25.16
"PK",1990,57.33,57.33,57.33
"PL",1990,0.46,0.46,0.46
"PS",1990,3.4,3.4,3.4
"PY",1990,1.19,1.19,1.19
"RO",1990,0.37,0.37,0.37
"RS",1990,1.2,1.2,1.2
"RU",1990,2.16,2.16,2.16
"RW",1990,70.52,70.52,70.52
"SB",1990,40.04,40.04,40.04
"SC",1990,1.36,1.36,1.36
"SD",1990,46.32,46.32,46.32
"SI",1990,0.03,0.03,0.03
"SK",1990,0,0,0
"SL",1990,65.03,65.03,65.03
"SN",1990,68.05,68.05,68.05
"SR",1990,21.41,21.41,21.41
"SS",1990,48.86,48.86,48.86
"ST",1990,37.45,37.45,37.45
"SV",1990,19.62,19.62,19.62
"SZ",1990,82.58,82.58,82.58
"TD",1990,68.2,68.2,68.2
"TG",1990,49.51,49.51,49.51
"TH",1990,9.37,9.37,9.37
"TJ",1990,2.39,2.39,2.39
"TL",1990,96.76,96.76,96.76
"TM",1990,23.35,23.35,23.35
"TN",1990,9.82,9.82,9.82
"TO",1990,4.8,4.8,4.8
"TR",1990,1.86,1.86,1.86
"TT",1990,3.41,3.41,3.41
"TV",1990,9.58,9.58,9.58
"TZ",1990,68.61,68.61,68.61
"UA",1990,1.19,1.19,1.19
"UG",1990,78.62,78.62,78.62
"UY",1990,0.75,0.75,0.75
"UZ",1990,0,0,0
"VE",1990,6.81,6.81,6.81
"VN",1990,59.52,59.52,59.52
"VU",1990,14.62,14.62,14.62
"WS",1990,7.36,7.36,7.36
"XK",1990,1.63,1.63,1.63
"ZA",1990,26.35,26.35,26.35
"ZM",1990,53.4,53.4,53.4
"ZW",1990,4.34,4.34,4.34
"AL",1991,0.21,0.21,
"AM",1991,16.57,16.57,
"AO",1991,46.23,46.23,
"AZ",1991,1.49,1.49,
"BA",1991,0.32,0.32,
"BD",1991,40.43,40.43,
"BF",1991,83.77,83.77,
"BG",1991,0.11,0.11,
"BI",1991,81.7,81.7,
"BJ",1991,58.6,58.6,
"BO",1991,9.97,9.97,
"BR",1991,20.35,20.35,
"BT",1991,84.7,84.7,
"BW",1991,33.95,33.95,
"BY",1991,0.13,0.13,
"BZ",1991,12.4,12.4,
"CD",1991,75.46,75.46,
"CF",1991,82.18,82.18,
"CG",1991,48.71,48.71,
"CI",1991,16.96,16.96,
"CL",1991,6.87,6.87,
"CM",1991,38.84,38.84,
"CN",1991,63.39,63.39,
"CO",1991,8.51,8.51,
"CR",1991,9.28,9.28,
"CV",1991,51.22,51.22,
"CZ",1991,0.01,0.01,
"DJ",1991,10.57,10.57,
"DO",1991,21.82,21.82,
"EC",1991,20.67,20.67,
"EE",1991,0.91,0.91,
"ET",1991,63.38,63.38,
"FJ",1991,10.31,10.31,
"FM",1991,15.63,15.63,
"GA",1991,5.56,5.56,
"GE",1991,22.93,22.93,
"GH",1991,43.71,43.71,
"GM",1991,69.28,69.28,
"GN",1991,82.52,82.52,
"GT",1991,32.71,32.71,
"GW",1991,50.61,50.61,
"GY",1991,37.62,37.62,
"HN",1991,37.39,37.39,
"HR",1991,0.32,0.32,
"HT",1991,57.16,57.16,
"HU",1991,0.12,0.12,
"ID",1991,57.2,57.2,
"IN",1991,39.6,39.6,
"IR",1991,4.92,4.92,
"JM",1991,6.29,6.29,
"KE",1991,22.42,22.42,
"KG",1991,37.65,37.65,
"KH",1991,33.68,33.68,
"KI",1991,18.21,18.21,
"KM",1991,11.47,11.47,
"KZ",1991,2.2,2.2,
"LA",1991,27.63,27.63,
"LC",1991,39.63,39.63,
"LK",1991,9.1,9.1,
"LR",1991,63.56,63.56,
"LS",1991,71.04,71.04,
"LT",1991,6.1,6.1,
"LV",1991,0.03,0.03,
"MA",1991,4.94,4.94,
"MD",1991,3.21,3.21,
"ME",1991,0.5,0.5,
"MG",1991,62.63,62.63,
"MK",1991,1.52,1.52,
"ML",1991,85.7,85.7,
"MN",1991,10.7,10.7,
"MR",1991,41.5,41.5,
"MU",1991,3.61,3.61,
"MV",1991,36.78,36.78,
"MW",1991,71.14,71.14,
"MX",1991,9.69,9.69,
"MY",1991,1.46,1.46,
"MZ",1991,90.27,90.27,
"NA",1991,53.27,53.27,
"NE",1991,73.91,73.91,
"NG",1991,54.28,54.28,
"NI",1991,23.34,23.34,
"NP",1991,67.32,67.32,
"PA",1991,22.34,22.34,
"PE",1991,19.42,19.42,
"PG",1991,61.16,61.16,
"PH",1991,25.31,25.31,
"PK",1991,52.16,52.16,
"PL",1991,0.35,0.35,
"PS",1991,3.07,3.07,
"PY",1991,3.48,3.48,
"RO",1991,2.38,2.38,
"RS",1991,1.04,1.04,
"RU",1991,2.23,2.23,
"RW",1991,69.82,69.82,
"SB",1991,37.67,37.67,
"SC",1991,1.28,1.28,
"SD",1991,44.37,44.37,
"SI",1991,0.04,0.04,
"SK",1991,0.07,0.07,
"SL",1991,65.6,65.6,
"SN",1991,66.04,66.04,
"SR",1991,22.88,22.88,
"SS",1991,48.47,48.47,
"ST",1991,36.63,36.63,
"SV",1991,20.16,20.16,
"SZ",1991,82.51,82.51,
"TD",1991,70.02,70.02,
"TG",1991,54.29,54.29,
"TH",1991,7.88,7.88,
"TJ",1991,7.4,7.4,
"TL",1991,95.3,95.3,
"TM",1991,23.7,23.7,
"TN",1991,10,10,
"TO",1991,4.45,4.45,
"TR",1991,1.85,1.85,
"TT",1991,3.35,3.35,
"TV",1991,8.57,8.57,
"TZ",1991,70.23,70.23,
"UA",1991,1.23,1.23,
"UG",1991,74.61,74.61,
"UY",1991,0.71,0.71,
"UZ",1991,14.41,14.41,
"VE",1991,6.25,6.25,
"VN",1991,55.92,55.92,
"VU",1991,14.62,14.62,
"WS",1991,7.45,7.45,
"XK",1991,2,2,
"ZA",1991,27.33,27.33,
"ZM",1991,53.78,53.78,
"ZW",1991,5.24,5.24,
"AM",1992,22.28,22.28,
"AO",1992,46.01,46.01,
"AZ",1992,2.37,2.37,
"BA",1992,0.33,0.33,
"BD",1992,39.43,39.43,
"BF",1992,83.39,83.39,
"BG",1992,0.15,0.15,
"BI",1992,81.85,81.85,
"BJ",1992,58.35,58.35,
"BO",1992,11.19,11.19,
"BR",1992,20.13,20.13,
"BT",1992,82,82,
"BW",1992,34.31,34.31,
"BY",1992,0.11,0.11,
"BZ",1992,11.24,11.24,
"CD",1992,81.02,81.02,
"CF",1992,82.82,82.82,
"CG",1992,49.38,49.38,
"CI",1992,19.62,19.62,
"CL",1992,5.81,5.81,
"CM",1992,44.23,44.23,
"CN",1992,60.19,60.19,
"CO",1992,8.81,8.81,
"CR",1992,8.65,8.65,
"CV",1992,49.34,49.34,
"CZ",1992,0.02,0.02,
"DJ",1992,12.45,12.45,
"DO",1992,13.44,13.44,
"EC",1992,19.63,19.63,
"EE",1992,1.12,1.12,
"ET",1992,66.44,66.44,
"FJ",1992,10.19,10.19,
"FM",1992,14.52,14.52,
"GA",1992,5.67,5.67,
"GE",1992,36.72,36.72,
"GH",1992,43.83,43.83,
"GM",1992,69.3,69.3,
"GN",1992,73.24,73.24,
"GT",1992,29.64,29.64,
"GW",1992,57.32,57.32,
"GY",1992,33.6,33.6,
"HN",1992,30.5,30.5,
"HR",1992,0.37,0.37,
"HT",1992,56.79,56.79,
"HU",1992,0.15,0.15,
"ID",1992,57.13,57.13,
"IN",1992,40.34,40.34,
"IR",1992,3.83,3.83,
"JM",1992,8.02,8.02,
"KE",1992,23.78,23.78,
"KG",1992,40.98,40.98,
"KH",1992,32.55,32.55,
"KI",1992,18.41,18.41,
"KM",1992,11.73,11.73,
"KZ",1992,4.36,4.36,
"LA",1992,26.07,26.07,
"LC",1992,38.27,38.27,
"LK",1992,9,9,
"LR",1992,77.94,77.94,
"LS",1992,70.52,70.52,
"LT",1992,6.53,6.53,
"LV",1992,0.01,0.01,
"MA",1992,5.42,5.42,
"MD",1992,3.98,3.98,
"ME",1992,0.44,0.44,
"MG",1992,65.68,65.68,
"MK",1992,1.82,1.82,
"ML",1992,85.43,85.43,
"MN",1992,13.57,13.57,
"MR",1992,41.33,41.33,
"MU",1992,3.19,3.19,
"MV",1992,34.18,34.18,
"MW",1992,70.07,70.07,
"MX",1992,9.34,9.34,
"MY",1992,1.47,1.47,
"MZ",1992,90.41,90.41,
"NA",1992,52.93,52.93,
"NE",1992,76.27,76.27,
"NG",1992,56.38,56.38,
"NI",1992,22.7,22.7,
"NP",1992,66.19,66.19,
"PA",1992,19.98,19.98,
"PE",1992,18.71,18.71,
"PG",1992,57.78,57.78,
"PH",1992,25.47,25.47,
"PK",1992,46.98,46.98,
"PL",1992,0.25,0.25,
"PS",1992,2.73,2.73,
"PY",1992,5.78,5.78,
"RO",1992,4.39,4.39,
"RS",1992,0.87,0.87,
"RU",1992,2.3,2.3,
"RW",1992,69.13,69.13,
"SB",1992,35.3,35.3,
"SC",1992,1.2,1.2,
"SD",1992,42.42,42.42,
"SK",1992,0.14,0.14,
"SL",1992,66.17,66.17,
"SN",1992,64.02,64.02,
"SR",1992,24.36,24.36,
"SS",1992,48.07,48.07,
"ST",1992,35.81,35.81,
"SV",1992,20.69,20.69,
"SZ",1992,82.43,82.43,
"TD",1992,71.83,71.83,
"TG",1992,59.08,59.08,
"TH",1992,6.39,6.39,
"TJ",1992,12.42,12.42,
"TL",1992,93.85,93.85,
"TM",1992,24.05,24.05,
"TN",1992,10.18,10.18,
"TO",1992,4.1,4.1,
"TR",1992,1.83,1.83,
"TT",1992,3.29,3.29,
"TV",1992,7.57,7.57,
"TZ",1992,71.86,71.86,
"UA",1992,1.28,1.28,
"UG",1992,70.59,70.59,
"UY",1992,0.68,0.68,
"UZ",1992,28.81,28.81,
"VE",1992,5.68,5.68,
"VN",1992,52.31,52.31,
"VU",1992,14.62,14.62,
"WS",1992,7.55,7.55,
"XK",1992,2.37,2.37,
"ZA",1992,28.31,28.31,
"ZM",1992,54.16,54.16,
"ZW",1992,6.14,6.14,
"AL",1993,0.41,0.41,0.41
"AM",1993,27.99,27.99,27.99
"AO",1993,45.78,45.78,45.78
"AZ",1993,3.24,3.24,3.24
"BA",1993,0.34,0.34,0.34
"BD",1993,38.42,38.42,38.42
"BF",1993,83.01,83.01,83.01
"BG",1993,0.19,0.19,0.19
"BI",1993,82.01,82.01,82.01
"BJ",1993,58.11,58.11,58.11
"BO",1993,12.42,12.42,12.42
"BR",1993,19.92,19.92,19.92
"BT",1993,79.31,79.31,79.31
"BW",1993,34.68,34.68,34.68
"BY",1993,0.09,0.09,0.09
"BZ",1993,10.09,10.09,10.09
"CD",1993,86.57,86.57,86.57
"CF",1993,83.45,83.45,83.45
"CG",1993,50.05,50.05,50.05
"CI",1993,22.27,22.27,22.27
"CL",1993,4.76,4.76,4.76
"CM",1993,49.63,49.63,49.63
"CN",1993,57,57,57
"CO",1993,9.1,9.1,9.1
"CR",1993,8.01,8.01,8.01
"CV",1993,47.46,47.46,47.46
"CZ",1993,0.02,0.02,0.02
"DJ",1993,14.32,14.32,14.32
"DO",1993,5.07,5.07,5.07
"EC",1993,18.59,18.59,18.59
"EE",1993,1.32,1.32,1.32
"ET",1993,69.49,69.49,69.49
"FJ",1993,10.07,10.07,10.07
"FM",1993,13.4,13.4,13.4
"GA",1993,5.78,5.78,5.78
"GE",1993,50.52,50.52,50.52
"GH",1993,43.94,43.94,43.94
"GM",1993,69.31,69.31,69.31
"GN",1993,63.97,63.97,63.97
"GT",1993,26.58,26.58,26.58
"GW",1993,64.02,64.02,64.02
"GY",1993,29.58,29.58,29.58
"HN",1993,23.61,23.61,23.61
"HR",1993,0.43,0.43,0.43
"HT",1993,56.43,56.43,56.43
"HU",1993,0.17,0.17,0.17
"ID",1993,57.06,57.06,57.06
"IN",1993,41.08,41.08,41.08
"IR",1993,2.75,2.75,2.75
"JM",1993,9.75,9.75,9.75
"KE",1993,25.14,25.14,25.14
"KG",1993,44.31,44.31,44.31
"KH",1993,31.41,31.41,31.41
"KI",1993,18.62,18.62,18.62
"KM",1993,12,12,12
"KZ",1993,6.53,6.53,6.53
"LA",1993,24.5,24.5,24.5
"LC",1993,36.92,36.92,36.92
"LK",1993,8.91,8.91,8.91
"LR",1993,92.31,92.31,92.31
"LS",1993,70,70,70
"LT",1993,6.97,6.97,6.97
"MA",1993,5.91,5.91,5.91
"MD",1993,4.74,4.74,4.74
"ME",1993,0.39,0.39,0.39
"MG",1993,68.72,68.72,68.72
"MK",1993,2.12,2.12,2.12
"ML",1993,85.16,85.16,85.16
"MN",1993,16.43,16.43,16.43
"MR",1993,41.16,41.16,41.16
"MU",1993,2.77,2.77,2.77
"MV",1993,31.59,31.59,31.59
"MW",1993,69,69,69
"MX",1993,9,9,9
"MY",1993,1.49,1.49,1.49
"MZ",1993,90.54,90.54,90.54
"NA",1993,52.6,52.6,52.6
"NE",1993,78.64,78.64,78.64
"NG",1993,58.49,58.49,58.49
"NI",1993,22.06,22.06,22.06
"NP",1993,65.06,65.06,65.06
"PA",1993,17.61,17.61,17.61
"PE",1993,17.99,17.99,17.99
"PG",1993,54.4,54.4,54.4
"PH",1993,25.62,25.62,25.62
"PK",1993,41.81,41.81,41.81
"PL",1993,0.14,0.14,0.14
"PS",1993,2.4,2.4,2.4
"PY",1993,8.07,8.07,8.07
"RO",1993,6.4,6.4,6.4
"RS",1993,0.71,0.71,0.71
"RU",1993,2.37,2.37,2.37
"RW",1993,68.43,68.43,68.43
"SB",1993,32.93,32.93,32.93
"SC",1993,1.12,1.12,1.12
"SD",1993,40.47,40.47,40.47
"SI",1993,0.05,0.05,0.05
"SK",1993,0.21,0.21,0.21
"SL",1993,66.74,66.74,66.74
"SN",1993,62.01,62.01,62.01
"SR",1993,25.83,25.83,25.83
"SS",1993,47.68,47.68,47.68
"ST",1993,34.99,34.99,34.99
"SV",1993,21.23,21.23,21.23
"SZ",1993,82.36,82.36,82.36
"TD",1993,73.65,73.65,73.65
"TG",1993,63.86,63.86,63.86
"TH",1993,4.9,4.9,4.9
"TJ",1993,17.43,17.43,17.43
"TL",1993,92.39,92.39,92.39
"TM",1993,24.4,24.4,24.4
"TN",1993,10.36,10.36,10.36
"TO",1993,3.75,3.75,3.75
"TR",1993,1.82,1.82,1.82
"TT",1993,3.23,3.23,3.23
"TV",1993,6.56,6.56,6.56
"TZ",1993,73.48,73.48,73.48
"UA",1993,1.32,1.32,1.32
"UG",1993,66.58,66.58,66.58
"UY",1993,0.64,0.64,0.64
"UZ",1993,43.22,43.22,43.22
"VE",1993,5.12,5.12,5.12
"VN",1993,48.71,48.71,48.71
"VU",1993,14.62,14.62,14.62
"WS",1993,7.64,7.64,7.64
"XK",1993,2.74,2.74,2.74
"ZA",1993,29.29,29.29,29.29
"ZM",1993,54.54,54.54,54.54
"ZW",1993,7.04,7.04,7.04
"AL",1994,0.64,0.64,
"AM",1994,24.63,24.63,
"AO",1994,45.52,45.52,
"AZ",1994,4.41,4.41,
"BA",1994,0.55,0.55,
"BD",1994,37.66,37.66,
"BF",1994,82.7,82.7,
"BG",1994,0.37,0.37,
"BI",1994,82.74,82.74,
"BJ",1994,57.72,57.72,
"BO",1994,14.38,14.38,
"BR",1994,18,18,
"BT",1994,75.82,75.82,
"BW",1994,34.05,34.05,
"BY",1994,0.27,0.27,
"BZ",1994,10.95,10.95,
"CD",1994,87.6,87.6,
"CF",1994,81.55,81.55,
"CG",1994,50.93,50.93,
"CI",1994,21.68,21.68,
"CL",1994,4.29,4.29,
"CM",1994,49.11,49.11,
"CN",1994,52.02,52.02,
"CO",1994,11.27,11.27,
"CR",1994,7.99,7.99,
"CV",1994,42.23,42.23,
"CZ",1994,0.06,0.06,
"DJ",1994,15.9,15.9,
"DO",1994,5.02,5.02,
"EC",1994,18.26,18.26,
"EE",1994,1,1,
"ET",1994,66.72,66.72,
"FJ",1994,9.19,9.19,
"FM",1994,13.44,13.44,
"GA",1994,5.52,5.52,
"GE",1994,35.69,35.69,
"GH",1994,42.09,42.09,
"GM",1994,70.12,70.12,
"GN",1994,60.31,60.31,
"GT",1994,23.75,23.75,
"GW",1994,59.02,59.02,
"GY",1994,24.89,24.89,
"HN",1994,25.86,25.86,
"HR",1994,0.44,0.44,
"HT",1994,56.02,56.02,
"HU",1994,0.19,0.19,
"ID",1994,53.34,53.34,
"IN",1994,40.33,40.33,
"IR",1994,2.95,2.95,
"JM",1994,7.64,7.64,
"KE",1994,23.3,23.3,
"KG",1994,43.76,43.76,
"KH",1994,29.96,29.96,
"KI",1994,18.21,18.21,
"KM",1994,12.88,12.88,
"KZ",1994,6.46,6.46,
"LA",1994,26.05,26.05,
"LC",1994,35.93,35.93,
"LK",1994,8.9,8.9,
"LR",1994,93.68,93.68,
"LS",1994,69.35,69.35,
"LT",1994,4.65,4.65,
"LV",1994,0.52,0.52,
"MA",1994,5.73,5.73,
"MD",1994,12.34,12.34,
"ME",1994,0.39,0.39,
"MG",1994,68.39,68.39,
"MK",1994,1.83,1.83,
"ML",1994,83.7,83.7,
"MN",1994,17.24,17.24,
"MR",1994,34.03,34.03,
"MU",1994,2.49,2.49,
"MV",1994,28.27,28.27,
"MW",1994,67.59,67.59,
"MX",1994,10.7,10.7,
"MY",1994,1.21,1.21,
"MZ",1994,88.93,88.93,
"NA",1994,52.62,52.62,
"NE",1994,79.23,79.23,
"NG",1994,60.16,60.16,
"NI",1994,21.07,21.07,
"NP",1994,63.43,63.43,
"PA",1994,17.03,17.03,
"PE",1994,18.11,18.11,
"PG",1994,54.01,54.01,
"PH",1994,24,24,
"PK",1994,33.95,33.95,
"PL",1994,0.95,0.95,
"PS",1994,2.19,2.19,
"PY",1994,9.3,9.3,
"RO",1994,7.05,7.05,
"RS",1994,0.65,0.65,
"RU",1994,2.78,2.78,
"RW",1994,72.42,72.42,
"SB",1994,31.24,31.24,
"SC",1994,1.2,1.2,
"SD",1994,39.9,39.9,
"SI",1994,0.06,0.06,
"SK",1994,0.31,0.31,
"SL",1994,66.77,66.77,
"SN",1994,60.25,60.25,
"SR",1994,25.01,25.01,
"SS",1994,47.36,47.36,
"ST",1994,34.27,34.27,
"SV",1994,21.48,21.48,
"SZ",1994,77.14,77.14,
"TD",1994,73.11,73.11,
"TG",1994,60.25,60.25,
"TH",1994,4.02,4.02,
"TJ",1994,31.46,31.46,
"TL",1994,88.53,88.53,
"TM",1994,28.86,28.86,
"TN",1994,10.17,10.17,
"TO",1994,3.64,3.64,
"TR",1994,1.88,1.88,
"TT",1994,3.52,3.52,
"TV",1994,6.74,6.74,
"TZ",1994,75.29,75.29,
"UA",1994,2.67,2.67,
"UG",1994,64.32,64.32,
"UY",1994,0.63,0.63,
"UZ",1994,45.02,45.02,
"VE",1994,6.84,6.84,
"VN",1994,45.61,45.61,
"VU",1994,14.62,14.62,
"WS",1994,7.06,7.06,
"XK",1994,2.82,2.82,
"ZA",1994,30.8,30.8,
"ZM",1994,50.27,50.27,
"ZW",1994,5.88,5.88,
"AM",1995,21.26,21.26,
"AO",1995,45.26,45.26,
"AZ",1995,5.59,5.59,
"BA",1995,0.76,0.76,
"BD",1995,36.91,36.91,
"BF",1995,82.39,82.39,
"BG",1995,0.55,0.55,
"BI",1995,83.46,83.46,
"BJ",1995,57.32,57.32,
"BO",1995,16.33,16.33,
"BR",1995,16.09,16.09,
"BT",1995,72.32,72.32,
"BW",1995,33.43,33.43,
"BY",1995,0.45,0.45,
"BZ",1995,11.81,11.81,
"CD",1995,88.62,88.62,
"CF",1995,79.64,79.64,
"CG",1995,51.81,51.81,
"CI",1995,21.09,21.09,
"CL",1995,3.82,3.82,
"CM",1995,48.6,48.6,
"CN",1995,47.03,47.03,
"CO",1995,13.45,13.45,
"CR",1995,7.98,7.98,
"CV",1995,37,37,
"CZ",1995,0.11,0.11,
"DJ",1995,17.48,17.48,
"DO",1995,4.98,4.98,
"EC",1995,17.94,17.94,
"EE",1995,0.69,0.69,
"ET",1995,63.94,63.94,
"FJ",1995,8.31,8.31,
"FM",1995,13.48,13.48,
"GA",1995,5.26,5.26,
"GE",1995,20.87,20.87,
"GH",1995,40.25,40.25,
"GM",1995,70.92,70.92,
"GN",1995,56.65,56.65,
"GT",1995,20.93,20.93,
"GW",1995,54.03,54.03,
"GY",1995,20.19,20.19,
"HN",1995,28.1,28.1,
"HR",1995,0.46,0.46,
"HT",1995,55.62,55.62,
"HU",1995,0.22,0.22,
"ID",1995,49.61,49.61,
"IN",1995,39.57,39.57,
"IR",1995,3.16,3.16,
"JM",1995,5.54,5.54,
"KE",1995,21.45,21.45,
"KG",1995,43.22,43.22,
"KH",1995,28.51,28.51,
"KI",1995,17.8,17.8,
"KM",1995,13.75,13.75,
"KZ",1995,6.4,6.4,
"LA",1995,27.61,27.61,
"LC",1995,34.94,34.94,
"LK",1995,8.88,8.88,
"LR",1995,95.05,95.05,
"LS",1995,68.71,68.71,
"LT",1995,2.32,2.32,
"LV",1995,1.05,1.05,
"MA",1995,5.56,5.56,
"MD",1995,19.95,19.95,
"ME",1995,0.39,0.39,
"MG",1995,68.07,68.07,
"MK",1995,1.55,1.55,
"ML",1995,82.24,82.24,
"MN",1995,18.05,18.05,
"MR",1995,26.89,26.89,
"MU",1995,2.21,2.21,
"MV",1995,24.96,24.96,
"MW",1995,66.17,66.17,
"MX",1995,12.39,12.39,
"MY",1995,0.92,0.92,
"MZ",1995,87.33,87.33,
"NA",1995,52.65,52.65,
"NE",1995,79.83,79.83,
"NG",1995,61.83,61.83,
"NI",1995,20.08,20.08,
"NP",1995,61.79,61.79,
"PA",1995,16.46,16.46,
"PE",1995,18.23,18.23,
"PG",1995,53.62,53.62,
"PH",1995,22.37,22.37,
"PK",1995,26.09,26.09,
"PL",1995,1.76,1.76,
"PS",1995,1.99,1.99,
"PY",1995,10.52,10.52,
"RO",1995,7.71,7.71,
"RS",1995,0.58,0.58,
"RU",1995,3.19,3.19,
"RW",1995,76.42,76.42,
"SB",1995,29.54,29.54,
"SC",1995,1.28,1.28,
"SD",1995,39.32,39.32,
"SI",1995,0.06,0.06,
"SK",1995,0.42,0.42,
"SL",1995,66.79,66.79,
"SN",1995,58.5,58.5,
"SR",1995,24.2,24.2,
"SS",1995,47.03,47.03,
"ST",1995,33.55,33.55,
"SV",1995,21.72,21.72,
"SZ",1995,71.91,71.91,
"TD",1995,72.56,72.56,
"TG",1995,56.64,56.64,
"TH",1995,3.13,3.13,
"TJ",1995,45.49,45.49,
"TL",1995,84.68,84.68,
"TM",1995,33.31,33.31,
"TN",1995,9.98,9.98,
"TO",1995,3.52,3.52,
"TR",1995,1.95,1.95,
"TT",1995,3.82,3.82,
"TV",1995,6.93,6.93,
"TZ",1995,77.11,77.11,
"UA",1995,4.02,4.02,
"UG",1995,62.07,62.07,
"UY",1995,0.63,0.63,
"UZ",1995,46.83,46.83,
"VE",1995,8.55,8.55,
"VN",1995,42.52,42.52,
"VU",1995,14.62,14.62,
"WS",1995,6.47,6.47,
"XK",1995,2.91,2.91,
"ZA",1995,32.3,32.3,
"ZM",1995,46,46,
"ZW",1995,4.72,4.72,
"AL",1996,1.1,1.1,1.1
"AM",1996,17.9,17.9,17.9
"AO",1996,45,45,45
"AZ",1996,6.76,6.76,6.76
"BA",1996,0.97,0.97,0.97
"BD",1996,36.15,36.15,36.15
"BF",1996,82.08,82.08,82.08
"BG",1996,0.73,0.73,0.73
"BI",1996,84.19,84.19,84.19
"BJ",1996,56.93,56.93,56.93
"BO",1996,18.29,18.29,18.29
"BR",1996,14.17,14.17,14.17
"BT",1996,68.83,68.83,68.83
"BW",1996,32.8,32.8,32.8
"BY",1996,0.63,0.63,0.63
"BZ",1996,12.67,12.67,12.67
"CD",1996,89.65,89.65,89.65
