"di_id","year","direction","flow_type","flow_name","value"
"AT",2014,"in","official","oda-interest",84774.95
"AT",2014,"in","official","oofs-capital-repay",168685195.51
"AT",2014,"in","official","oofs-interest",134190268.355
"AT",2014,"out","commercial","fdi-devcountries",702989833.488125
"AT",2014,"out","official","dfis-out",0
"AT",2014,"out","official","oda-out",1050556612.885
"AT",2014,"out","official","oofs-out",274162188.3
"AT",2014,"out","private","pda-out",0
"AT",2014,"out","private","remittances-devcountries",1268767412.45287
"AU",2014,"in","official","oda-capital-repay",12628111.0356
"AU",2014,"in","official","oda-interest",0
"AU",2014,"in","official","oofs-capital-repay",0
"AU",2014,"in","official","oofs-interest",0
"AU",2014,"out","commercial","fdi-devcountries",1534110221.95781
"AU",2014,"out","official","dfis-out",0
"AU",2014,"out","official","oda-out",3642792404.6892
"AU",2014,"out","official","oofs-out",120211016.3808
"AU",2014,"out","private","pda-out",904075193.415426
"AU",2014,"out","private","remittances-devcountries",8329915667.26341
"BE",2014,"in","official","oda-capital-repay",37830495.1386
"BE",2014,"in","official","oda-interest",16787.4396
"BE",2014,"in","official","oofs-capital-repay",181875120.6264
"BE",2014,"in","official","oofs-interest",0
"BE",2014,"out","commercial","fdi-devcountries",16436634009.3139
"BE",2014,"out","official","dfis-out",0
"BE",2014,"out","official","oda-out",2094258271.2594
"BE",2014,"out","official","oofs-out",144867210.0282
"BE",2014,"out","private","pda-out",388133997.2718
"BE",2014,"out","private","remittances-devcountries",1066362466.39562
"BG",2014,"in","official","oda-capital-repay",0
"BG",2014,"in","official","oda-interest",0
"BG",2014,"in","official","oofs-capital-repay",0
"BG",2014,"in","official","oofs-interest",0
"BG",2014,"out","commercial","fdi-devcountries",0
"BG",2014,"out","official","dfis-out",0
"BG",2014,"out","official","oda-out",43671736.0366
"BG",2014,"out","official","oofs-out",0
"BG",2014,"out","private","pda-out",0
"BG",2014,"out","private","remittances-devcountries",46412974.0653485
"CA",2014,"in","official","oda-capital-repay",39113372.658
"CA",2014,"in","official","oda-interest",1761396.9144
"CA",2014,"in","official","oofs-capital-repay",70481779.4718
"CA",2014,"in","official","oofs-interest",27681561.3116
"CA",2014,"out","commercial","fdi-devcountries",0
"CA",2014,"out","official","dfis-out",0
"CA",2014,"out","official","oda-out",3700349545.2104
"CA",2014,"out","official","oofs-out",543909006.0084
"CA",2014,"out","private","pda-out",0
"CA",2014,"out","private","remittances-devcountries",12563625406.5749
"CH",2014,"in","official","oda-capital-repay",76308874.8301
"CH",2014,"in","official","oda-interest",0
"CH",2014,"in","official","oofs-capital-repay",0
"CH",2014,"in","official","oofs-interest",0
"CH",2014,"out","commercial","fdi-devcountries",10246497146.4845
"CH",2014,"out","official","dfis-out",0
"CH",2014,"out","official","oda-out",3391438613.1472
"CH",2014,"out","official","oofs-out",0
"CH",2014,"out","private","pda-out",0
"CH",2014,"out","private","remittances-devcountries",1982528420.76806
"CY",2014,"in","official","oda-capital-repay",0
"CY",2014,"in","official","oda-interest",0
"CY",2014,"in","official","oofs-capital-repay",0
"CY",2014,"in","official","oofs-interest",0
"CY",2014,"out","commercial","fdi-devcountries",0
"CY",2014,"out","official","dfis-out",0
"CY",2014,"out","official","oda-out",15247711.8987
"CY",2014,"out","official","oofs-out",0
"CY",2014,"out","private","pda-out",0
"CY",2014,"out","private","remittances-devcountries",216208564.994048
"CZ",2014,"in","official","oda-capital-repay",0
"CZ",2014,"in","official","oda-interest",0
"CZ",2014,"in","official","oofs-capital-repay",341160.444
"CZ",2014,"in","official","oofs-interest",33553129.6674
"CZ",2014,"out","commercial","fdi-devcountries",123202460.651873
"CZ",2014,"out","official","dfis-out",0
"CZ",2014,"out","official","oda-out",180942970.4865
"CZ",2014,"out","official","oofs-out",4614195.0051
"CZ",2014,"out","private","pda-out",0
"CZ",2014,"out","private","remittances-devcountries",416254122.608637
"DE",2014,"in","official","oda-capital-repay",1820814501.306
"DE",2014,"in","official","oda-interest",673713300.7782
"DE",2014,"in","official","oofs-capital-repay",1641614572.392
"DE",2014,"in","official","oofs-interest",355850819.8287
"DE",2014,"out","commercial","fdi-devcountries",14067138327.7763
"DE",2014,"out","official","dfis-out",0
"DE",2014,"out","official","oda-out",16493810393.397
"DE",2014,"out","official","oofs-out",1949741262.7221
"DE",2014,"out","private","pda-out",0
"DE",2014,"out","private","remittances-devcountries",7210002902.45892
"DK",2014,"in","official","oda-capital-repay",120375999.0834
"DK",2014,"in","official","oda-interest",0
"DK",2014,"in","official","oofs-capital-repay",29901238.8798
"DK",2014,"in","official","oofs-interest",7032595.146
"DK",2014,"out","commercial","fdi-devcountries",486481178.941748
"DK",2014,"out","official","dfis-out",0
"DK",2014,"out","official","oda-out",2670132335.8308
"DK",2014,"out","official","oofs-out",42432815.0496
"DK",2014,"out","private","pda-out",0
"DK",2014,"out","private","remittances-devcountries",569409715.008389
"EE",2014,"in","official","oda-capital-repay",16853.3604
"EE",2014,"in","official","oda-interest",0
"EE",2014,"in","official","oofs-capital-repay",0
"EE",2014,"in","official","oofs-interest",0
"EE",2014,"out","commercial","fdi-devcountries",25546134.5216665
"EE",2014,"out","official","dfis-out",0
"EE",2014,"out","official","oda-out",31642184.151
"EE",2014,"out","official","oofs-out",0
"EE",2014,"out","private","pda-out",0
"EE",2014,"out","private","remittances-devcountries",45307364.5842828
"ES",2014,"in","official","oda-capital-repay",203375777.969
"ES",2014,"in","official","oda-interest",4108431.496
"ES",2014,"in","official","oofs-capital-repay",0
"ES",2014,"in","official","oofs-interest",0
"ES",2014,"out","commercial","fdi-devcountries",20664716001.0613
"ES",2014,"out","official","dfis-out",0
"ES",2014,"out","official","oda-out",1783463377.28
"ES",2014,"out","official","oofs-out",3157093.875
"ES",2014,"out","private","pda-out",0
"ES",2014,"out","private","remittances-devcountries",6943511413.90222
"FI",2014,"in","official","oda-capital-repay",0
"FI",2014,"in","official","oda-interest",0
"FI",2014,"in","official","oofs-capital-repay",33466097.2728
"FI",2014,"in","official","oofs-interest",5390456.0487
"FI",2014,"out","commercial","fdi-devcountries",0
"FI",2014,"out","official","dfis-out",0
"FI",2014,"out","official","oda-out",1370307580.6413
"FI",2014,"out","official","oofs-out",42687717.2628
"FI",2014,"out","private","pda-out",0
"FI",2014,"out","private","remittances-devcountries",176094607.480941
"FR",2014,"in","official","oda-capital-repay",1450713878.2005
"FR",2014,"in","official","oda-interest",455454619.4736
"FR",2014,"in","official","oofs-capital-repay",541976126.2896
"FR",2014,"in","official","oofs-interest",188277220.3497
"FR",2014,"out","commercial","fdi-devcountries",13425713946.9815
"FR",2014,"out","official","dfis-out",0
"FR",2014,"out","official","oda-out",10595589332.259
