"di_id","year","value_rural","value_urban"
"AS",2002,6818,51911
"AT",2002,2763221,5318736
"AU",2002,2448564,17202836
"AW",2002,51326,43669
"AZ",2002,3939697,4232253
"BA",2002,2313190,1495157
"BB",2002,180615,90864
"BD",2002,102498290,33730166
"BE",2002,285185,10047600
"BF",2002,9923740,2367244
"BG",2002,2398309,5470159
"BH",2002,84360,641005
"BI",2002,6538437,621481
"BJ",2002,4525218,2889526
"BM",2002,0,62912
"BN",2002,95667,247716
"BO",2002,3219909,5433434
"BR",2002,32805461,148240131
"BS",2002,55280,253890
"BT",2002,433436,164985
"BW",2002,815258,971414
"BY",2002,2866769,6998231
"BZ",2002,138652,123550
"CA",2002,6306898,25055102
"CD",2002,32596215,18380289
"CF",2002,2400786,1458998
"CG",2002,1315123,1941744
"CH",2002,1940658,5344095
"CI",2002,9477760,7707661
"CL",2002,2075198,13469356
"CM",2002,8936727,7842707
"CN",2002,788470320,492057720
"CO",2002,11357605,30214888
"CR",2002,1554177,2509031
"CU",2002,2708896,8476763
"CV",2002,204245,251151
"CW",2002,11771,117434
"CY",2002,306801,673082
"CZ",2002,2670572,7526344
"DE",2002,22131663,60356832
"DJ",2002,174288,571171
"DK",2002,792950,4582981
"DM",2002,23950,45856
"DO",2002,3236150,5596136
"DZ",2002,12316299,19674088
"EC",2002,5082415,7989641
"EE",2002,425943,953407
"EG",2002,40495964,30412746
"ER",2002,3104702,683830
"ES",2002,9723987,31707571
"ET",2002,59748025,10643145
"EU",2002,137662150,352762325
"FI",2002,910105,4290493
"FJ",2002,418531,397160
"FM",2002,83094,23889
"FO",2002,29411,18041
"FR",2002,14598404,47206863
"GA",2002,237727,1051594
"GB",2002,12438115,46932364
"GD",2002,65283,36817
"GE",2002,2078725,2278275
"GH",2002,10830071,8960088
"GI",2002,0,27903
"GL",2002,10139,46476
"GM",2002,658022,649652
"GN",2002,6225058,2889229
"GQ",2002,347467,220197
"GR",2002,2910840,7991182
"GT",2002,6634356,5637852
"GU",2002,10488,146753
"GW",2002,846476,525891
"GY",2002,531173,211934
"HK",2002,0,6744100
"HN",2002,3471116,3027885
"HR",2002,1958928,2481072
"HT",2002,5395375,3440247
"HU",2002,3547386,6611222
"ID",2002,122661376,94707711
"IE",2002,1586541,2345406
"IL",2002,569619,6000381
"IM",2002,37710,40608
"IN",2002,782319883,307869475
"IQ",2002,7832351,17111442
"IR",2002,23375663,44321014
"IS",2002,21104,266419
"IT",2002,18612648,38446359
"JM",2002,1248783,1366470
"JO",2002,970007,3968928
"JP",2002,23386158,104058843
"KE",2002,25960701,6731279
"KG",2002,3229482,1761717
"KH",2002,10295235,2386749
"KI",2002,49358,37985
"KM",2002,414366,161062
"KN",2002,31714,15221
"KP",2002,9399188,13848865
"KR",2002,9381569,38240610
"KW",2002,37985,2004230
"KY",2002,0,44742
"KZ",2002,6637492,8221456
"LA",2002,4179577,1322763
"LB",2002,485095,3037747
"LC",2002,118033,42185
"LI",2002,28926,5069
"LK",2002,15450436,3488564
"LR",2002,1688256,1382417
"LS",2002,1497077,388411
"LT",2002,1142065,2301002
"LU",2002,65588,380587
"LV",2002,742721,1567452
"LY",2002,1294603,4223738
"MA",2002,13589325,15946266
"MC",2002,0,32648
"MD",2002,1970946,1652479
"ME",2002,240455,369373
"MF",2002,,
"MG",2002,12106843,4629186
"MH",2002,16175,35986
"MK",2002,849419,1179287
"ML",2002,8228386,3494631
"MM",2002,35207704,13482248
"MN",2002,994506,1448997
"MO",2002,0,444178
"MP",2002,6857,61642
"MR",2002,1418393,1466279
"MT",2002,28114,367895
"MU",2002,695669,508952
"MV",2002,207781,89219
"MW",2002,10045178,1743553
"MX",2002,26014492,79574362
"MY",2002,8818874,15583103
"MZ",2002,13648584,5700131
"NA",2002,1296617,661132
"NC",2002,82926,138564
"NE",2002,10100359,1976840
"NG",2002,82058465,47187818
"NI",2002,2315903,2855833
"NL",2002,3373511,12775418
"NO",2002,1043777,3494382
"NP",2002,21020849,3496120
"NR",2002,0,10073
"NZ",2002,556739,3391762
"OM",2002,661416,1661787
"PA",2002,1170153,1974575
"PE",2002,6956283,19645180
"PF",2002,107986,137046
"PG",2002,4909312,743972
"PH",2002,42752713,38541665
"PK",2002,95579926,48691660
"PL",2002,14607822,23622542
"PR",2002,218716,3604985
"PS",2002,848495,2226878
"PT",2002,4619022,5800609
"PW",2002,5240,14337
"PY",2002,2390739,3117876
"QA",2002,20998,613390
"RO",2002,10261140,11469356
"RS",2002,3469390,4027132
"RU",2002,38738592,106567454
"RW",2002,7106180,1432849
"SA",2002,4465616,18202486
"SB",2002,362701,72192
"SC",2002,41473,42227
"SD",2002,19930165,9639813
"SE",2002,1416391,7508567
"SG",2002,0,4175950
"SI",2002,981708,1012822
"SK",2002,2365304,3011608
"SL",2002,2825314,1596840
"SM",2002,1711,26434
"SN",2002,6167182,4222275
"SO",2002,5166737,2660466
"SR",2002,162463,323808
"SS",2002,6020946,1212291
"ST",2002,63916,79169
"SV",2002,2349133,3525168
"SX",2002,0,32566
"SY",2002,8043227,8954294
"SZ",2002,839567,242736
"TC",2002,3041,18699
"TD",2002,7048646,1953456
"TG",2002,3403767,1738652
"TH",2002,42471302,21665367
"TJ",2002,4713275,1693243
"TL",2002,671307,223530
"TM",2002,2467532,2132640
"TN",2002,3490106,6258794
"TO",2002,76165,22840
"TR",2002,22175323,42950443
"TT",2002,1144689,133151
"TV",2002,5066,4464
"TZ",2002,27594377,8261103
"UA",2002,15771858,32430642
"UG",2002,22249709,3106085
"US",2002,59222027,228403166
"UY",2002,247253,3080517
"UZ",2002,15888412,9383438
"VC",2002,58498,49652
"VE",2002,2936141,22463002
"VG",2002,12419,9111
"VI",2002,7531,100677
"VN",2002,59247633,20290067
"VU",2002,150840,43136
"WS",2002,137848,38744
"XK",2002,,
"YE",2002,13689051,5144929
"ZA",2002,19133648,26314448
"ZM",2002,7199768,3940210
"ZW",2002,8302734,4389966
"AD",2001,5381,62389
"AE",2001,622657,2595530
"AF",2001,16096429,4434731
"AG",2001,53906,25066
"AL",2001,1761742,1298737
"AM",2001,1089985,1970357
"AO",2001,10403726,5159065
"AR",2001,3998213,33473322
"AS",2001,6696,51480
"AT",2001,2750464,5291829
"AU",2001,2449921,16963079
"AW",2001,49847,43047
"AZ",2001,3926632,4184568
"BA",2001,2307206,1492921
"BB",2001,179600,91086
"BD",2001,101536033,32240031
"BE",2001,290081,9996489
"BF",2001,9729371,2214369
"BG",2001,2472653,5547629
"BH",2001,80816,614077
"BI",2001,6359027,587693
"BJ",2001,4401808,2773103
"BM",2001,0,62504
"BN",2001,95560,241514
"BO",2001,3202285,5294093
"BR",2001,32918379,145501017
"BS",2001,54383,248755
"BT",2001,426992,153792
"BW",2001,809707,952824
"BY",2001,2932731,6995269
"BZ",2001,134150,120839
"CA",2001,6275436,24806464
"CD",2001,31850111,17598904
"CF",2001,2363325,1431352
"CG",2001,1300298,1883585
"CH",2001,1928925,5300929
"CI",2001,9412566,7454496
"CL",2001,2094888,13263530
"CM",2001,8805767,7543597
"CN",2001,800120835,471729165
"CO",2001,11321137,29667772
"CR",2001,1582333,2414467
"CU",2001,2726535,8426052
"CV",2001,204487,242870
"CW",2001,11601,117446
"CY",2001,300271,661211
"CZ",2001,2668577,7548028
"DE",2001,22143895,60206030
"DJ",2001,171923,562165
"DK",2001,795779,4563004
"DM",2001,24116,45544
"DO",2001,3256204,5440923
"DZ",2001,12411837,19178483
"EC",2001,5038279,7814474
"EE",2001,426984,961131
"EG",2001,39783329,29816616
"ER",2001,3004415,650591
"ES",2001,9642870,31113131
"ET",2001,58182034,10211094
"EU",2001,138358920,350714675
"FI",2001,914646,4273362
"FJ",2001,420949,393266
"FM",2001,83239,23931
"FO",2001,29538,17479
"FR",2001,14646019,46711412
"GA",2001,241373,1019062
"GB",2001,12562931,46556742
"GD",2001,65082,36778
"GE",2001,2087926,2298474
"GH",2001,10688767,8605037
"GI",2001,0,27580
"GL",2001,10228,46122
"GM",2001,649137,618093
"GN",2001,6148126,2808525
"GQ",2001,335992,213015
"GR",2001,2942552,7919580
"GT",2001,6523722,5453003
"GU",2001,10589,145828
"GW",2001,840047,503599
"GY",2001,530544,212619
"HK",2001,0,6714300
"HN",2001,3443053,2928251
"HR",2001,1966032,2474412
"HT",2001,5454584,3237980
"HU",2001,3599271,6588305
"ID",2001,122707318,91740983
"IE",2001,1570081,2296548
"IL",2001,562125,5876875
"IM",2001,37384,40224
"IN",2001,772617007,299271183
"IQ",2001,7629391,16629403
"IR",2001,23544808,43267928
"IS",2001,21287,263681
"IT",2001,18641926,38332174
"JM",2001,1249364,1356192
"JO",2001,965680,3884547
"JP",2001,25442515,101706485
"KE",2001,25414152,6449128
"KG",2001,3199480,1745620
"KH",2001,10120940,2327941
"KI",2001,48536,37322
"KM",2001,404073,157452
"KN",2001,31154,15062
"KP",2001,9334898,13708543
"KR",2001,9499887,37857475
"KW",2001,37213,1952809
"KY",2001,0,43317
"KZ",2001,6607502,8250833
"LA",2001,4177562,1247139
"LB",2001,466687,2893524
"LC",2001,115069,43581
"LI",2001,28627,5036
"LK",2001,15332713,3464287
"LR",2001,1659219,1339551
"LS",2001,1495881,375608
"LT",2001,1148147,2322671
"LU",2001,66935,374590
"LV",2001,749063,1588107
"LY",2001,1278908,4149395
"MA",2001,13554906,15696077
"MC",2001,0,32364
"MD",2001,1971884,1659578
"ME",2001,245628,361761
"MF",2001,,
"MG",2001,11788790,4446977
"MH",2001,16349,35835
"MK",2001,842192,1179393
"ML",2001,8069063,3308168
"MM",2001,35028623,13167061
"MN",2001,1010963,1408766
"MO",2001,0,438088
"MP",2001,6847,61970
"MR",2001,1397132,1399370
"MT",2001,28927,364101
"MU",2001,688344,507943
"MV",2001,207729,84271
"MW",2001,9802526,1689298
"MX",2001,26018195,78231792
"MY",2001,8869893,15051070
"MZ",2001,13289955,5502402
"NA",2001,1295704,635301
"NC",2001,82214,135110
"NE",2001,9748104,1894204
"NG",2001,81065408,44949527
"NI",2001,2296358,2804392
"NL",2001,3557438,12488742
"NO",2001,1058023,3455728
"NP",2001,20768452,3372489
"NR",2001,0,10053
"NZ",2001,552583,3327917
"OM",2001,646540,1626007
"PA",2001,1157891,1928996
"PE",2001,6972392,19288971
"PF",2001,106161,135115
"PG",2001,4786243,726592
"PH",2001,41649096,37955445
"PK",2001,94023222,47258855
"PL",2001,14626064,23622012
"PR",2001,216524,3602250
"PS",2001,833684,2164100
"PT",2001,4659080,5703642
"PW",2001,5505,13899
"PY",2001,2380537,3026088
"QA",2001,21419,592301
"RO",2001,10435224,11696746
"RS",2001,3492098,4011335
"RU",2001,38902626,107073457
"RW",2001,7010614,1318499
"SA",2001,4383981,17623956
"SB",2001,354922,68613
"SC",2001,40374,40828
"SD",2001,19429068,9376074
"SE",2001,1417126,7478834
"SG",2001,0,4138012
"SI",2001,980492,1011568
"SK",2001,2358095,3020772
"SL",2001,2706413,1513785
"SM",2001,1736,26035
"SN",2001,6021268,4096810
"SO",2001,5051553,2558500
"SR",2001,162114,322096
"SS",2001,5809069,1158748
"ST",2001,63869,76134
"SV",2001,2369457,3475281
"SX",2001,0,31189
"SY",2001,7961566,8732848
"SZ",2001,832405,242467
"TC",2001,2955,17231
"TD",2001,6786197,1877402
"TG",2001,3336147,1670076
"TH",2001,42760852,20654322
"TJ",2001,4625970,1664443
"TL",2001,652676,213172
"TM",2001,2451579,2100183
"TN",2001,3491587,6159013
"TO",2001,75755,22679
"TR",2001,22252140,41930554
"TT",2001,1137510,134873
"TV",2001,5074,4397
"TZ",2001,26987445,7911617
"UA",2001,15978044,32705821
"UG",2001,21548799,2985869
"US",2001,59188052,225780903
"UY",2001,256187,3070918
"UZ",2001,15657703,9306747
"VC",2001,58800,49189
"VE",2001,2918006,22022217
"VG",2001,12220,8867
"VI",2001,7793,100593
"VN",2001,59012547,19607953
"VU",2001,147739,41549
"WS",2001,136819,38748
"XK",2001,,
"YE",2001,13402033,4904254
"ZA",2001,19145021,25764717
"ZM",2001,7064149,3797089
"ZW",2001,8297205,4306783
"AD",2000,4977,60429
"AE",2000,602705,2447423
"AF",2000,15509367,4192573
"AG",2000,52700,24948
"AL",2000,1799667,1289360
"AM",2000,1086785,1989313
"AO",2000,10176628,4882010
"AR",2000,4024439,33033014
"AS",2000,6563,50959
"AT",2000,2739956,5271610
"AU",2000,2459245,16695670
"AW",2000,48409,42449
"AZ",2000,3912424,4136176
"BA",2000,2301898,1490980
"BB",2000,178552,91286
"BD",2000,100311613,30969126
"BE",2000,294211,9957039
"BF",2000,9537087,2070857
"BG",2000,2540923,5629249
"BH",2000,77555,589300
"BI",2000,6208789,558284
"BJ",2000,4285674,2663692
"BM",2000,0,61833
"BN",2000,95332,235222
"BO",2000,3183192,5156320
"BR",2000,33065430,142721011
"BS",2000,53591,244300
"BT",2000,420771,143416
"BW",2000,812372,924207
"BY",2000,3004502,7000499
"BZ",2000,129443,117869
"CA",2000,6313942,24455758
"CD",2000,31173973,16874691
"CF",2000,2323564,1402484
"CG",2000,1284439,1825141
"CH",2000,1916758,5267492
"CI",2000,9326033,7191915
"CL",2000,2113235,13057152
"CM",2000,8674232,7253481
"CN",2000,809607974,453037026
"CO",2000,11284826,29123174
"CR",2000,1607472,2317978
"CU",2000,2743623,8373164
"CV",2000,204320,234461
"CW",2000,12382,121478
"CY",2000,295720,647567
"CZ",2000,2667342,7587721
"DE",2000,22139559,60071949
"DJ",2000,169585,552977
"DK",2000,795603,4544013
"DM",2000,24206,45479
"DO",2000,3275203,5287420
"DZ",2000,12498410,18685248
"EC",2000,5013553,7615043
"EE",2000,427897,969088
"EG",2000,39087566,29247339
"ER",2000,2914736,620773
"ES",2000,9558487,30704729
"ET",2000,56649816,9793787
"EU",2000,138748937,349116522
"FI",2000,922400,4253809
"FJ",2000,422566,388657
"FM",2000,83441,23989
"FO",2000,29596,16895
"FR",2000,14698186,46214312
"GA",2000,245324,986224
"GB",2000,12573552,46318962
"GD",2000,65169,36451
"GE",2000,2092507,2325793
"GH",2000,10555174,8269820
"GI",2000,0,27351
"GL",2000,10341,45859
"GM",2000,640606,588257
"GN",2000,6069664,2729501
"GQ",2000,324855,206041
"GR",2000,2947824,7857984
"GT",2000,6413568,5275092
"GU",2000,10671,144657
"GW",2000,833341,482114
"GY",2000,529276,212942
"HK",2000,0,6665000
"HN",2000,3404976,2838104
"HR",2000,1965587,2460413
"HT",2000,5505686,3043516
"HU",2000,3617747,6594245
"ID",2000,122693448,88846980
"IE",2000,1554414,2250760
"IL",2000,553432,5735568
"IM",2000,37005,39801
"IN",2000,761982859,291498213
"IQ",2000,7426047,16148704
"IR",2000,23679682,42170380
"IS",2000,21372,259833
"IT",2000,18665623,38276485
"JM",2000,1247827,1341562
"JO",2000,962553,3804923
"JP",2000,27080981,99762020
"KE",2000,24886828,6178992
"KG",2000,3169265,1729135
"KH",2000,9930314,2267591
"KI",2000,48145,36261
"KM",2000,393903,153793
"KN",2000,30615,14929
"KP",2000,9270844,13569374
"KR",2000,9580253,37427858
"KW",2000,36467,1893003
"KY",2000,0,41685
"KZ",2000,6588981,8294645
"LA",2000,4168514,1174365
"LB",2000,452953,2782427
"LC",2000,113364,43585
"LI",2000,28246,5036
"LK",2000,15215018,3439982
"LR",2000,1609959,1282009
"LS",2000,1493333,362892
"LT",2000,1155197,2344339
"LU",2000,68848,367452
"LV",2000,755959,1611591
"LY",2000,1262263,4075001
"MA",2000,13511223,15442225
"MC",2000,0,32081
"MD",2000,1972659,1666933
"ME",2000,250812,354138
"MF",2000,,
"MG",2000,11474818,4269993
"MH",2000,16504,35657
"MK",2000,833995,1178056
"ML",2000,7914018,3132908
"MM",2000,34813248,12856543
"MN",2000,1027782,1369656
"MO",2000,0,431907
"MP",2000,6761,61673
"MR",2000,1376317,1335104
"MT",2000,29098,352265
"MU",2000,680434,506439
"MV",2000,206749,79251
"MW",2000,9557899,1635331
"MX",2000,25990012,76818578
"MY",2000,8904570,14516181
"MZ",2000,12949556,5314980
"NA",2000,1283586,614367
"NC",2000,81497,131733
"NE",2000,9407273,1817250
"NG",2000,80066473,42810250
"NI",2000,2275126,2751666
"NL",2000,3696312,12230794
"NO",2000,1074239,3416728
"NP",2000,20551844,3188301
"NR",2000,0,10042
"NZ",2000,552423,3305277
"OM",2000,636662,1602741
"PA",2000,1144868,1883883
"PE",2000,6986650,18928225
"PF",2000,104231,133036
"PG",2000,4664676,709375
"PH",2000,40563735,37376306
"PK",2000,92420451,45843861
"PL",2000,14645403,23613226
"PR",2000,213775,3596830
"PS",2000,819079,2103074
"PT",2000,4692193,5597705
"PW",2000,5760,13414
"PY",2000,2368717,2933986
"QA",2000,21898,571555
"RO",2000,10548196,11894775
"RS",2000,3518402,3997944
"RU",2000,39067982,107528575
"RW",2000,6824209,1197666
"SA",2000,4310543,17081730
"SB",2000,347146,65190
"SC",2000,40468,40663
"SD",2000,18956581,9125891
"SE",2000,1416876,7455233
"SG",2000,0,4027887
"SI",2000,979546,1009379
"SK",2000,2358643,3030077
"SL",2000,2613878,1446831
"SM",2000,1799,25621
"SN",2000,5882821,3978743
"SO",2000,4929765,2455651
"SR",2000,161340,319411
"SS",2000,5588654,1104345
"ST",2000,63891,73273
"SV",2000,2388083,3423753
"SX",2000,0,30519
"SY",2000,7858121,8495929
"SZ",2000,822358,241357
"TC",2000,2916,15960
"TD",2000,6537826,1805495
"TG",2000,3270460,1604275
"TH",2000,43013888,19679434
"TJ",2000,4547440,1638712
"TL",2000,641658,205527
"TM",2000,2434818,2066601
"TN",2000,3493349,6059151
"TO",2000,75372,22526
"TR",2000,22298479,40941678
"TT",2000,1131292,136688
"TV",2000,5084,4335
"TZ",2000,26408066,7583524
"UA",2000,16159184,33021582
"UG",2000,20887714,2869922
"US",2000,59084809,223077602
"UY",2000,264703,3056539
"UZ",2000,15423755,9226645
"VC",2000,59138,48759
"VE",2000,2942674,21538803
"VG",2000,12020,8623
"VI",2000,8050,100589
"VN",2000,58712250,18918650
"VU",2000,144956,40102
"WS",2000,136234,38380
"XK",2000,,
"YE",2000,13120415,4674804
"ZA",2000,18968400,25031600
"ZM",2000,6901563,3683657
"ZW",2000,8279987,4219994
"AD",1999,4703,59458
"AE",1999,582318,2301870
"AF",1999,15046063,3992357
"AG",1999,51335,24706
"AL",1999,1828894,1279884
"AM",1999,1084384,2009436
"AO",1999,9974615,4627368
"AR",1999,4049610,32598444
"AS",1999,6738,50030
"AT",1999,2733375,5258949
"AU",1999,2469843,16456157
"AW",1999,47056,41948
"AZ",1999,3897179,4086370
"BA",1999,2295989,1488400
"BB",1999,178133,90787
"BD",1999,98877138,29869135
"BE",1999,300657,9926785
"BF",1999,9345722,1937294
"BG",1999,2571567,5639057
"BH",1999,74473,566431
"BI",1999,6091161,532546
"BJ",1999,4178430,2562735
"BM",1999,0,61285
"BN",1999,94974,228838
"BO",1999,3162617,5020093
"BR",1999,33764848,139388218
"BS",1999,53371,240201
"BT",1999,414690,133697
"BW",1999,813696,894672
"BY",1999,3062682,6972318
"BZ",1999,125105,113919
"CA",1999,6374333,24124867
"CD",1999,30571435,16216803
"CF",1999,2281127,1372183
"CG",1999,1266453,1765516
"CH",1999,1902445,5241546
"CI",1999,9216311,6921513
"CL",1999,2130225,12850259
"CM",1999,8542145,6972104
"CN",1999,816031579,436828695
"CO",1999,11240982,28578297
"CR",1999,1610691,2238034
"CU",1999,2760154,8320352
"CV",1999,204049,225570
"CW",1999,13664,125764
"CY",1999,291252,634239
"CZ",1999,2661463,7622397
"DE",1999,22117805,59982438
"DJ",1999,167145,543578
"DK",1999,793480,4528319
"DM",1999,24340,45562
"DO",1999,3293256,5135860
"DZ",1999,12577366,18189185
"EC",1999,4984274,7414417
"EE",1999,420537,960083
"EG",1999,38422122,28690755
"ER",1999,2835297,594359
"ES",1999,9510437,30415831
"ET",1999,55158113,9392048
"EU",1999,139104437,347955918
"FI",1999,932368,4233106
"FJ",1999,423329,383246
"FM",1999,83282,24526
"FO",1999,29409,16443
"FR",1999,14755149,45741566
"GA",1999,249380,953032
"GB",1999,12563916,46118550
"GD",1999,65328,36113
"GE",1999,2098018,2354482
"GH",1999,10446031,7938395
"GI",1999,0,27233
"GL",1999,10390,45710
"GM",1999,632725,560195
"GN",1999,5993469,2653867
"GQ",1999,314117,199230
"GR",1999,2948705,7812993
"GT",1999,6306793,5102022
"GU",1999,10854,143097
"GW",1999,826334,461393
"GY",1999,527163,213026
"HK",1999,0,6606500
"HN",1999,3366051,2748483
"HR",1999,2028807,2525193
"HT",1999,5463698,2940698
"HU",1999,3613848,6623682
"ID",1999,123538159,85105920
"IE",1999,1543217,2211569
"IL",1999,542675,5582325
"IM",1999,36566,39320
"IN",1999,750875542,284101084
"IQ",1999,7223642,15664958
"IR",1999,23761437,41018925
"IS",1999,21442,255939
"IT",1999,18691319,38224998
"JM",1999,1246728,1327561
"JO",1999,960799,3731072
"JP",1999,27200339,99430661
"KE",1999,24377348,5923892
"KG",1999,3131739,1708661
"KH",1999,9725148,2203158
"KI",1999,48504,34465
"KM",1999,383774,150135
"KN",1999,30126,14816
"KP",1999,9208399,13433348
"KR",1999,9612359,37004318
"KW",1999,35210,1817942
"KY",1999,0,39810
"KZ",1999,6578957,8349469
"LA",1999,4152929,1103278
"LB",1999,445721,2711256
"LC",1999,111699,43374
"LI",1999,27782,5061
"LK",1999,15112846,3421007
"LR",1999,1535657,1206098
"LS",1999,1489365,350266
"LT",1999,1161236,2363002
"LU",1999,71244,359231
"LV",1999,759695,1630787
"LY",1999,1245261,4000153
"MA",1999,13453694,15177279
"MC",1999,0,31795
"MD",1999,1973028,1673973
"ME",1999,257429,348572
"MF",1999,,
"MG",1999,11164751,4098066
"MH",1999,16643,35433
"MK",1999,824537,1174825
"ML",1999,7767888,2968654
"MM",1999,34557639,12549284
"MN",1999,1030780,1345385
"MO",1999,0,425448
"MP",1999,6700,60571
"MR",1999,1355928,1273878
"MT",1999,30045,349353
"MU",1999,672370,502897
"MV",1999,204036,75964
"MW",1999,9302398,1580145
"MX",1999,25883735,75382835
"MY",1999,8989982,13908597
"MZ",1999,12633806,5140260
"NA",1999,1265764,591556
"NC",1999,80778,128436
"NE",1999,9079183,1742251
"NG",1999,78725834,41100397
"NI",1999,2252096,2697565
"NL",1999,3790157,12021931
"NO",1999,1111463,3350450
"NP",1999,20309743,3005310
"NR",1999,0,10044
"NZ",1999,551871,3283229
"OM",1999,632259,1593222
"PA",1999,1145009,1825184
"PE",1999,6996127,18565170
"PF",1999,102175,130781
"PG",1999,4536694,700692
"PH",1999,39630174,36655051
"PK",1999,90731654,44426478
"PL",1999,14818482,23841789
"PR",1999,216605,3583476
"PS",1999,804682,2043749
"PT",1999,4726767,5491061
"PW",1999,5688,13190
"PY",1999,2354731,2842204
"QA",1999,22255,548445
"RO",1999,10525904,11946136
"RS",1999,3550021,3990380
"RU",1999,39232635,107981757
"RW",1999,6518672,1066471
"SA",1999,4244330,16581625
"SB",1999,339115,62204
"SC",1999,40229,40181
"SD",1999,18516039,8890769
"SE",1999,1417260,7440614
"SG",1999,0,3958723
"SI",1999,977245,1005999
"SK",1999,2358600,3037420
"SL",1999,2551715,1397085
"SM",1999,1867,25233
"SN",1999,5751349,3866292
"SO",1999,4798010,2350396
"SR",1999,159957,315680
"SS",1999,5350355,1048061
"ST",1999,63976,70626
"SV",1999,2404985,3370675
"SX",1999,0,31084
"SY",1999,7733851,8238579
"SZ",1999,808963,239188
"TC",1999,2912,14954
"TD",1999,6305487,1737226
"TG",1999,3206573,1541092
"TH",1999,42780623,19193334
"TJ",1999,4463338,1630788
"TL",1999,639965,201098
"TM",1999,2416484,2032943
"TN",1999,3494901,5960999
"TO",1999,75016,22382
"TR",1999,22289372,40006245
"TT",1999,1130967,133814
"TV",1999,5099,4275
"TZ",1999,25862087,7273194
"UA",1999,16337565,33335785
"UG",1999,20263194,2763163
"US",1999,59323904,219716096
"UY",1999,273350,3035968
"UZ",1999,15180194,9131456
"VC",1999,59528,48351
"VE",1999,2966884,21056471
"VG",1999,11809,8377
"VI",1999,8438,100158
"VN",1999,58351366,18245334
"VU",1999,142574,38772
"WS",1999,135722,38036
"XK",1999,,
"YE",1999,12848533,4455889
"ZA",1999,18710347,24213138
"ZM",1999,6674247,3635063
"ZW",1999,8247284,4126735
"AD",1998,4517,59371
"AE",1998,563703,2170067
"AF",1998,14687008,3824472
"AG",1998,49829,24384
"AL",1998,1858347,1270183
"AM",1998,1082375,2030583
"AO",1998,9793776,4395353
"AR",1998,4073553,32168025
"AS",1998,7004,48895
"AT",1998,2728062,5248727
"AU",1998,2482950,16228050
"AW",1998,45785,41491
"AZ",1998,3855214,4057786
"BA",1998,2290082,1485816
"BB",1998,177838,90111
"BD",1998,97377684,28791899
"BE",1998,306090,9896918
"BF",1998,9158096,1810997
"BG",1998,2605016,5651770
"BH",1998,71818,546236
"BI",1998,6002037,509883
"BJ",1998,4078465,2468028
"BM",1998,0,60943
"BN",1998,94523,222350
"BO",1998,3140674,4885583
"BR",1998,34478433,136038049
"BS",1998,53341,236713
"BT",1998,408772,124734
"BW",1998,813548,864731
"BY",1998,3115349,6953651
"BZ",1998,120625,109664
"CA",1998,6436753,23811147
"CD",1998,30036350,15611599
"CF",1998,2236716,1340670
"CG",1998,1247057,1705954
"CH",1998,1889838,5220163
"CI",1998,9069043,6659439
"CL",1998,2147306,12641303
"CM",1998,8407953,6700677
"CN",1998,821291616,420643385
"CO",1998,11197400,28036659
"CR",1998,1610174,2157195
"CU",1998,2777036,8265961
"CV",1998,203350,216534
"CW",1998,15011,129476
"CY",1998,286941,621190
"CZ",1998,2650801,7643572
"DE",1998,22070695,59976500
"DJ",1998,164509,533747
"DK",1998,792450,4511769
"DM",1998,24540,45755
"DO",1998,3310254,4986121
"DZ",1998,12647445,17689435
"EC",1998,4951918,7211969
"EE",1998,419589,966567
"EG",1998,37773665,28148961
"ER",1998,2766227,571000
"ES",1998,9493345,30227763
"ET",1998,53696472,9011075
"EU",1998,139254768,346800270
"FI",1998,942575,4210923
"FJ",1998,423206,377108
"FM",1998,83006,25230
"FO",1998,29039,16087
"FR",1998,14793790,45392501
"GA",1998,253627,919487
"GB",1998,12557189,45929952
"GD",1998,65502,35800
"GE",1998,2103646,2383654
"GH",1998,10346554,7622452
"GI",1998,0,27211
"GL",1998,10463,45637
"GM",1998,625165,533836
"GN",1998,5916866,2580716
"GQ",1998,303655,192675
"GR",1998,2950284,7770225
"GT",1998,6200978,4935836
"GU",1998,11070,141205
"GW",1998,819024,441400
"GY",1998,524453,212863
"HK",1998,0,6543700
"HN",1998,3325042,2660633
"HR",1998,2011497,2489503
"HT",1998,5418391,2840093
"HU",1998,3610753,6655817
"ID",1998,124295685,81457808
"IE",1998,1535571,2177496
"IL",1998,533210,5437790
"IM",1998,36072,38781
"IN",1998,739534755,276868152
"IQ",1998,7017684,15183151
"IR",1998,23798770,39817295
"IS",1998,21595,252452
"IT",1998,18722319,38184425
"JM",1998,1244385,1312651
"JO",1998,959388,3661941
"JP",1998,27302400,99097600
"KE",1998,23882295,5682319
"KG",1998,3076005,1692995
"KH",1998,9505292,2137381
"KI",1998,48819,32737
"KM",1998,373645,146535
"KN",1998,29675,14716
"KP",1998,9146332,13300899
"KR",1998,9655365,36635767
"KW",1998,33912,1732512
"KY",1998,0,37742
"KZ",1998,6632879,8438421
"LA",1998,4129992,1035080
"LB",1998,443117,2670843
"LC",1998,109947,43119
"LI",1998,27277,5080
"LK",1998,15021903,3403098
"LR",1998,1441481,1116604
"LS",1998,1483901,337731
"LT",1998,1167375,2381956
"LU",1998,72666,352034
"LV",1998,760361,1649658
"LY",1998,1227627,3926137
"MA",1998,13387916,14904383
"MC",1998,0,31517
